Index,leftWheelCount,rightWheelCount,ax,ay,az,gx,gy,gz
199,310,598,0.05,0.07,1.04,-33.71,6.25,75.17
200,310,598,-0.04,0.27,0.99,-32.89,-5.11,64.17
201,310,598,-0.04,0.39,1.04,-25.46,-10.88,41.25
202,310,598,-0.01,0.34,1.1,-13.82,-5.76,32.88
203,310,598,-0.02,0.27,1.11,2.45,-1.24,19.08
204,310,598,-0.05,0.27,1.13,8.57,-1,7.17
205,310,598,-0.03,0.27,1.13,6.37,1.22,-2.95
206,310,598,-0.01,0.27,1.1,10.36,1.34,-7.39
207,310,598,-0.02,0.32,1.11,17.67,5.13,-16.8
208,310,598,-0.03,0.36,1.08,25.32,12.75,-26.06
209,310,598,-0.09,0.35,1.06,37.71,-0.03,-38.54
210,310,598,-0.02,0.34,1.09,36.02,0.78,-49.41
211,310,598,-0.01,0.22,1.03,30.99,-6.86,-48.75
212,310,598,-0.02,0.08,1.05,22.08,-12.69,-63.88
213,310,598,-0.05,-0.13,1,24.77,-16.43,-68.23
214,310,598,-0.07,-0.25,1.07,31.31,-19.26,-69.78
215,310,598,0.04,-0.22,1.19,12.86,-11.21,-33.84
216,310,598,-0.01,-0.18,1.19,-17.15,-7.46,-15.82
217,310,598,0.02,-0.2,1.17,-15.73,-2.87,-2.21
218,310,598,0.02,-0.19,1.19,-10.15,5.24,10.55
219,310,598,0,-0.24,1.21,-14.57,3.11,23.5
220,310,598,0.02,-0.34,1.23,-15.65,12.96,34.3
221,310,598,0.07,-0.3,1.2,-21.22,19.17,65.83
222,310,598,-0.03,-0.16,1.06,-41.75,14.72,71.73
223,310,598,-0.04,0.01,0.91,-36.68,0.8,71.23
224,310,598,-0.01,0.23,1.03,-28.14,-0.97,77.3
225,310,598,-0.05,0.39,1.06,-22.09,-3.68,68.42
226,310,598,-0.06,0.43,1.08,-13.76,1.13,50.95
227,310,598,-0.09,0.39,1.09,-6.39,0.14,24.17
228,310,598,-0.08,0.32,1.1,-4.08,-0.42,3.47
229,310,598,-0.03,0.23,1.07,3.3,0.95,-1.59
230,310,598,-0.04,0.22,1.04,7.69,0.88,-6.5
231,310,598,-0.08,0.2,1.04,12.02,-4.39,-19.35
232,310,598,-0.07,0.15,1.06,17.2,-4.94,-25.7
233,310,598,-0.06,0.13,1.08,14.8,-6.13,-27.69
234,310,598,-0.03,0.11,1.08,13.89,-4.32,-29.46
235,310,598,-0.05,0.09,1.06,12.36,-10.85,-28.72
236,310,598,-0.06,0.02,1.07,13.17,-12.42,-33.91
237,310,598,-0.05,-0.05,1.08,10.46,-12.81,-32.01
238,310,598,-0.01,-0.09,1.1,10.8,-10.13,-19.07
239,310,598,-0.02,-0.04,1.14,4.41,-8.13,-12.74
240,310,598,-0.02,-0.02,1.14,-1.89,-3.96,-8.52
241,310,598,-0.02,0,1.13,-5.95,-2.25,-3.68
242,310,598,-0.02,0.01,1.11,-7.38,-1.58,-0.12
243,310,598,-0.02,0.02,1.09,-7,-0.82,4.35
