time,xe_p(1),xe_p(2),xe_p(3),xe_theta,"q(1,1)","q(2,1)","q(3,1)","q(4,1)","q?(1,1)","q?(2,1)","q?(3,1)","q?(4,1)",From Workspace1:1(1),From Workspace1:1(2),From Workspace1:1(3),From Workspace2:1,From Workspace4:1(1),From Workspace4:1(2),From Workspace4:1(3),theta_dot,pd(1),pd(2),pd(3),theta,"?e(1,1)","?e(2,1)","?e(3,1)","?e(4,1)","q_dot_dot(1,1)","q_dot_dot(2,1)","q_dot_dot(3,1)","q_dot_dot(4,1)",?d(1),?d(2),?d(3),?d(4),?(1),?(2),?(3),?(4),"Reshape(1,1)","Reshape(2,1)","Reshape(3,1)","Reshape(4,1)",xe_p(1),xe_p(2),xe_p(3),xe_theta
0.02,7.13102E-12,-0.799998935,0.3,-0.004053934,-0.927293443,-1.287005767,0.7,2.210245276,-6.39258E-07,1.27958E-06,0,-0.420454444,0,0,6.944444444,0,0,0,0.138888889,0,0,-0.8,0.001388889,0,4.25854E-10,-3.83875E-07,0,-0.420454444,2.30352E-07,-4.61301E-07,0,-20.05555556,0,0,0.138888889,0,0,0,6.944444444,0,-0.927293443,-1.287005767,0.7,2.210245276,7.13102E-12,-0.799998935,0.3,-0.004053934
0.021,7.55684E-12,-0.799998936,0.3,-0.004474388,-0.927293444,-1.287005766,0.7,2.209824822,-6.39028E-07,1.27912E-06,0,-0.44051,0,0,6.944444444,0,0,0,0.145833333,0,0,-0.8,0.00153125,0,4.25615E-10,-3.83737E-07,0,-0.44051,2.30271E-07,-4.6114E-07,0,-19.95855556,0,0,0.145833333,0,0,0,6.944444444,0,-0.927293444,-1.287005766,0.7,2.209824822,7.55684E-12,-0.799998936,0.3,-0.004474388
0.022,7.98245E-12,-0.799998936,0.3,-0.004914897,-0.927293445,-1.287005764,0.7,2.209384312,-6.38798E-07,1.27866E-06,0,-0.460468556,0,0,6.944444444,0,0,0,0.152777778,0,0,-0.8,0.001680556,0,4.25376E-10,-3.83599E-07,0,-0.460468556,2.30189E-07,-4.60976E-07,0,-19.86088889,0,0,0.152777778,0,0,0,6.944444444,0,-0.927293445,-1.287005764,0.7,2.209384312,7.98245E-12,-0.799998936,0.3,-0.004914897
0.023,8.40783E-12,-0.799998936,0.3,-0.005375365,-0.927293445,-1.287005763,0.7,2.208923843,-6.38567E-07,1.2782E-06,0,-0.480329444,0,0,6.944444444,0,0,0,0.159722222,0,0,-0.8,0.001836806,0,4.25136E-10,-3.8346E-07,0,-0.480329444,2.30107E-07,-4.60811E-07,0,-19.76255556,0,0,0.159722222,0,0,0,6.944444444,0,-0.927293445,-1.287005763,0.7,2.208923843,8.40783E-12,-0.799998936,0.3,-0.005375365
0.024,8.83282E-12,-0.799998937,0.3,-0.005855694,-0.927293446,-1.287005762,0.7,2.208443514,-6.38337E-07,1.27774E-06,0,-0.500092,0,0,6.944444444,0,0,0,0.166666667,0,0,-0.8,0.002,0,4.24897E-10,-3.83322E-07,0,-0.500092,2.30024E-07,-4.60645E-07,0,-19.66355556,0,0,0.166666667,0,0,0,6.944444444,0,-0.927293446,-1.287005762,0.7,2.208443514,8.83282E-12,-0.799998937,0.3,-0.005855694
0.025,9.25771E-12,-0.799998937,0.3,-0.006355785,-0.927293447,-1.28700576,0.7,2.207943422,-6.38107E-07,1.27728E-06,0,-0.519755556,0,0,6.944444444,0,0,0,0.173611111,0,0,-0.8,0.002170139,0,4.24659E-10,-3.83184E-07,0,-0.519755556,2.29941E-07,-4.60479E-07,0,-19.56388889,0,0,0.173611111,0,0,0,6.944444444,0,-0.927293447,-1.28700576,0.7,2.207943422,9.25771E-12,-0.799998937,0.3,-0.006355785
0.026,9.68242E-12,-0.799998938,0.3,-0.00687554,-0.927293447,-1.287005759,0.7,2.207423666,-6.37877E-07,1.27682E-06,0,-0.539319444,0,0,6.944444444,0,0,0,0.180555556,0,0,-0.8,0.002347222,0,4.2442E-10,-3.83046E-07,0,-0.539319444,2.29858E-07,-4.60313E-07,0,-19.46355556,0,0,0.180555556,0,0,0,6.944444444,0,-0.927293447,-1.287005759,0.7,2.207423666,9.68242E-12,-0.799998938,0.3,-0.00687554
0.027,1.01067E-11,-0.799998938,0.3,-0.007414859,-0.927293448,-1.287005758,0.7,2.206884347,-6.37648E-07,1.27636E-06,0,-0.558783,0,0,6.944444444,0,0,0,0.1875,0,0,-0.8,0.00253125,0,4.24181E-10,-3.82908E-07,0,-0.558783,2.29775E-07,-4.60147E-07,0,-19.36255556,0,0,0.1875,0,0,0,6.944444444,0,-0.927293448,-1.287005758,0.7,2.206884347,1.01067E-11,-0.799998938,0.3,-0.007414859
0.028,1.0531E-11,-0.799998938,0.3,-0.007973641,-0.927293448,-1.287005757,0.7,2.206325564,-6.37418E-07,1.2759E-06,0,-0.578145556,0,0,6.944444444,0,0,0,0.194444444,0,0,-0.8,0.002722222,0,4.23942E-10,-3.8277E-07,0,-0.578145556,2.29693E-07,-4.59982E-07,0,-19.26088889,0,0,0.194444444,0,0,0,6.944444444,0,-0.927293448,-1.287005757,0.7,2.206325564,1.0531E-11,-0.799998938,0.3,-0.007973641
0.029,1.0955E-11,-0.799998939,0.3,-0.008551786,-0.927293449,-1.287005755,0.7,2.205747418,-6.37188E-07,1.27544E-06,0,-0.597406444,0,0,6.944444444,0,0,0,0.201388889,0,0,-0.8,0.002920139,0,4.23704E-10,-3.82632E-07,0,-0.597406444,2.2961E-07,-4.59816E-07,0,-19.15855556,0,0,0.201388889,0,0,0,6.944444444,0,-0.927293449,-1.287005755,0.7,2.205747418,1.0955E-11,-0.799998939,0.3,-0.008551786
0.03,1.13787E-11,-0.799998939,0.3,-0.009149192,-0.92729345,-1.287005754,0.7,2.205150012,-6.36958E-07,1.27498E-06,0,-0.616565,0,0,6.944444444,0,0,0,0.208333333,0,0,-0.8,0.003125,0,4.23466E-10,-3.82494E-07,0,-0.616565,2.29527E-07,-4.5965E-07,0,-19.05555556,0,0,0.208333333,0,0,0,6.944444444,0,-0.92729345,-1.287005754,0.7,2.205150012,1.13787E-11,-0.799998939,0.3,-0.009149192
0.031,1.18023E-11,-0.799998939,0.3,-0.009765756,-0.92729345,-1.287005753,0.7,2.204533447,-6.36729E-07,1.27452E-06,0,-0.635620556,0,0,6.944444444,0,0,0,0.215277778,0,0,-0.8,0.003336806,0,4.23227E-10,-3.82356E-07,0,-0.635620556,2.29444E-07,-4.59484E-07,0,-18.95188889,0,0,0.215277778,0,0,0,6.944444444,0,-0.92729345,-1.287005753,0.7,2.204533447,1.18023E-11,-0.799998939,0.3,-0.009765756
0.032,1.22254E-11,-0.79999894,0.3,-0.010401376,-0.927293451,-1.287005752,0.7,2.203897826,-6.365E-07,1.27406E-06,0,-0.654572444,0,0,6.944444444,0,0,0,0.222222222,0,0,-0.8,0.003555556,0,4.22989E-10,-3.82218E-07,0,-0.654572444,2.29362E-07,-4.59319E-07,0,-18.84755556,0,0,0.222222222,0,0,0,6.944444444,0,-0.927293451,-1.287005752,0.7,2.203897826,1.22254E-11,-0.79999894,0.3,-0.010401376
0.033,1.26484E-11,-0.79999894,0.3,-0.011055948,-0.927293452,-1.28700575,0.7,2.203243254,-6.3627E-07,1.2736E-06,0,-0.67342,0,0,6.944444444,0,0,0,0.229166667,0,0,-0.8,0.00378125,0,4.22751E-10,-3.8208E-07,0,-0.67342,2.29279E-07,-4.59153E-07,0,-18.74255556,0,0,0.229166667,0,0,0,6.944444444,0,-0.927293452,-1.28700575,0.7,2.203243254,1.26484E-11,-0.79999894,0.3,-0.011055948
0.034,1.30712E-11,-0.799998941,0.3,-0.011729367,-0.927293452,-1.287005749,0.7,2.202569834,-6.36041E-07,1.27314E-06,0,-0.692162556,0,0,6.944444444,0,0,0,0.236111111,0,0,-0.8,0.004013889,0,4.22513E-10,-3.81942E-07,0,-0.692162556,2.29196E-07,-4.58987E-07,0,-18.63688889,0,0,0.236111111,0,0,0,6.944444444,0,-0.927293452,-1.287005749,0.7,2.202569834,1.30712E-11,-0.799998941,0.3,-0.011729367
0.035,1.34937E-11,-0.799998941,0.3,-0.012421529,-0.927293453,-1.287005748,0.7,2.201877671,-6.35812E-07,1.27268E-06,0,-0.710799444,0,0,6.944444444,0,0,0,0.243055556,0,0,-0.8,0.004253472,0,4.22275E-10,-3.81805E-07,0,-0.710799444,2.29114E-07,-4.58822E-07,0,-18.53055556,0,0,0.243055556,0,0,0,6.944444444,0,-0.927293453,-1.287005748,0.7,2.201877671,1.34937E-11,-0.799998941,0.3,-0.012421529
0.036,1.3916E-11,-0.799998941,0.3,-0.013132328,-0.927293454,-1.287005746,0.7,2.201166872,-6.35583E-07,1.27222E-06,0,-0.72933,0,0,6.944444444,0,0,0,0.25,0,0,-0.8,0.0045,0,4.22037E-10,-3.81667E-07,0,-0.72933,2.29031E-07,-4.58656E-07,0,-18.42355556,0,0,0.25,0,0,0,6.944444444,0,-0.927293454,-1.287005746,0.7,2.201166872,1.3916E-11,-0.799998941,0.3,-0.013132328
